2025-07-19 12:45:18,285 - __main__ - INFO - Starting PDF Outline Extractor
2025-07-19 12:45:18,286 - __main__ - INFO - Found 1 PDF files to process.
2025-07-19 12:45:18,287 - __main__ - INFO - Processing file: sample.pdf
2025-07-19 12:45:18,287 - extractor.pdf_parser - DEBUG - Starting to parse PDF: C:\Users\shrav\Downloads\project-bolt-sb1-uu5dcyx9\project\input\sample.pdf
2025-07-19 12:45:18,290 - extractor.pdf_parser - DEBUG - PDF has 17 pages
2025-07-19 12:45:18,437 - pdfminer.psparser - DEBUG - seek: 0
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b''
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b'%%EOF'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'5179464'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'startxref'
2025-07-19 12:45:18,475 - pdfminer.psparser - DEBUG - nextline: 5180335, b'0000386744 00000 n \n'
2025-07-19 12:45:18,477 - pdfminer.psparser - DEBUG - nextline: 5180355, b'0000386907 00000 n \n'
2025-07-19 12:45:18,479 - pdfminer.psparser - DEBUG - nextline: 5180375, b'0000387072 00000 n \n'
2025-07-19 12:45:18,480 - pdfminer.psparser - DEBUG - nextline: 5180395, b'0000387228 00000 n \n'
2025-07-19 12:45:18,481 - pdfminer.psparser - DEBUG - nextline: 5180415, b'0000387388 00000 n \n'
2025-07-19 12:45:18,482 - pdfminer.psparser - DEBUG - nextline: 5180435, b'0000387545 00000 n \n'
2025-07-19 12:45:18,483 - pdfminer.psparser - DEBUG - nextline: 5180455, b'0000387712 00000 n \n'
2025-07-19 12:45:18,484 - pdfminer.psparser - DEBUG - nextline: 5180475, b'0000387871 00000 n \n'
2025-07-19 12:45:18,485 - pdfminer.psparser - DEBUG - nextline: 5180495, b'0000388032 00000 n \n'
2025-07-19 12:45:18,485 - pdfminer.psparser - DEBUG - nextline: 5180515, b'0000388193 00000 n \n'
2025-07-19 12:45:18,488 - pdfminer.psparser - DEBUG - nextline: 5180535, b'0000388353 00000 n \n'
2025-07-19 12:45:18,490 - pdfminer.psparser - DEBUG - nextline: 5180555, b'0000388510 00000 n \n'
2025-07-19 12:45:18,490 - pdfminer.psparser - DEBUG - nextline: 5180575, b'0000388673 00000 n \n'
2025-07-19 12:45:18,491 - pdfminer.psparser - DEBUG - nextline: 5180595, b'0000388834 00000 n \n'
2025-07-19 12:45:18,491 - pdfminer.psparser - DEBUG - nextline: 5180615, b'0000388992 00000 n \n'
2025-07-19 12:45:18,492 - pdfminer.psparser - DEBUG - nextline: 5180635, b'0000389152 00000 n \n'
2025-07-19 12:45:18,493 - pdfminer.psparser - DEBUG - nextline: 5180655, b'0000389314 00000 n \n'
2025-07-19 12:45:18,494 - pdfminer.psparser - DEBUG - nextline: 5180675, b'0000389475 00000 n \n'
2025-07-19 12:45:18,495 - pdfminer.psparser - DEBUG - nextline: 5180695, b'0000389637 00000 n \n'
2025-07-19 12:45:18,495 - pdfminer.psparser - DEBUG - nextline: 5180715, b'0000389799 00000 n \n'
2025-07-19 12:45:18,496 - pdfminer.psparser - DEBUG - nextline: 5180735, b'0000389963 00000 n \n'
2025-07-19 12:45:18,498 - pdfminer.psparser - DEBUG - nextline: 5180755, b'0000390126 00000 n \n'
2025-07-19 12:45:18,499 - pdfminer.psparser - DEBUG - nextline: 5180775, b'0000390278 00000 n \n'
2025-07-19 12:45:18,499 - pdfminer.psparser - DEBUG - nextline: 5180795, b'0000390436 00000 n \n'
2025-07-19 12:45:18,501 - pdfminer.psparser - DEBUG - nextline: 5180815, b'0000390595 00000 n \n'
2025-07-19 12:45:18,502 - pdfminer.psparser - DEBUG - nextline: 5180835, b'0000390757 00000 n \n'
2025-07-19 12:45:18,502 - pdfminer.psparser - DEBUG - nextline: 5180855, b'0000390913 00000 n \n'
2025-07-19 12:45:18,503 - pdfminer.psparser - DEBUG - nextline: 5180875, b'0000391075 00000 n \n'
2025-07-19 12:45:18,504 - pdfminer.psparser - DEBUG - nextline: 5180895, b'0000391228 00000 n \n'
2025-07-19 12:45:18,504 - pdfminer.psparser - DEBUG - nextline: 5180915, b'0000391392 00000 n \n'
2025-07-19 12:45:18,505 - pdfminer.psparser - DEBUG - nextline: 5180935, b'0000391561 00000 n \n'
2025-07-19 12:45:18,506 - pdfminer.psparser - DEBUG - nextline: 5180955, b'0000391714 00000 n \n'
2025-07-19 12:45:18,507 - pdfminer.psparser - DEBUG - nextline: 5180975, b'0000391883 00000 n \n'
2025-07-19 12:45:18,508 - pdfminer.psparser - DEBUG - nextline: 5180995, b'0000392052 00000 n \n'
2025-07-19 12:45:18,509 - pdfminer.psparser - DEBUG - nextline: 5181015, b'0000392215 00000 n \n'
2025-07-19 12:45:18,509 - pdfminer.psparser - DEBUG - nextline: 5181035, b'0000392382 00000 n \n'
2025-07-19 12:45:18,510 - pdfminer.psparser - DEBUG - nextline: 5181055, b'0000398530 00000 n \n'
2025-07-19 12:45:18,510 - pdfminer.psparser - DEBUG - nextline: 5181075, b'0000000081 00000 f \n'
2025-07-19 12:45:18,511 - pdfminer.psparser - DEBUG - nextline: 5181095, b'0000000170 00000 f \n'
2025-07-19 12:45:18,512 - pdfminer.psparser - DEBUG - nextline: 5181115, b'0000616967 00000 n \n'
2025-07-19 12:45:18,513 - pdfminer.psparser - DEBUG - nextline: 5181135, b'0000617123 00000 n \n'
2025-07-19 12:45:18,514 - pdfminer.psparser - DEBUG - nextline: 5181155, b'0000392552 00000 n \n'
2025-07-19 12:45:18,515 - pdfminer.psparser - DEBUG - nextline: 5181175, b'0000392701 00000 n \n'
2025-07-19 12:45:18,516 - pdfminer.psparser - DEBUG - nextline: 5181195, b'0000392851 00000 n \n'
2025-07-19 12:45:18,517 - pdfminer.psparser - DEBUG - nextline: 5181215, b'0000393240 00000 n \n'
2025-07-19 12:45:18,517 - pdfminer.psparser - DEBUG - nextline: 5181235, b'0000384833 00000 n \n'
